step,best_bid,best_ask,spread,mid_price,ref_price,num_buy_orders,num_sell_orders,total_orders,num_trades,volume_traded,experiment,experiment_label
19313,94.33,94.69,0.36,94.50999999999999,94.63128379927035,115,175,290,8,39,high_cancel,High Cancellation
19314,94.3,94.69,0.39,94.495,94.61717434701502,106,175,281,12,39,high_cancel,High Cancellation
19315,94.3,94.69,0.39,94.495,94.63617941806787,106,178,284,0,0,high_cancel,High Cancellation
19316,94.62,94.69,0.07,94.655,94.66397832459685,107,179,286,0,0,high_cancel,High Cancellation
19317,94.62,94.69,0.07,94.655,94.64143552605982,108,180,288,0,0,high_cancel,High Cancellation
19318,94.3,94.69,0.39,94.495,94.61013365659005,107,180,287,4,21,high_cancel,High Cancellation
19319,94.5,94.77,0.27,94.63499999999999,94.62646746530133,108,178,286,4,22,high_cancel,High Cancellation
19320,94.62,94.77,0.15,94.695,94.66992176457205,110,179,289,0,0,high_cancel,High Cancellation
19321,94.62,94.75,0.13,94.685,94.69962470555053,112,180,292,0,0,high_cancel,High Cancellation
19322,94.62,94.75,0.13,94.685,94.69310076285315,115,180,295,0,0,high_cancel,High Cancellation
19323,94.62,94.75,0.13,94.685,94.7003395353828,115,182,297,0,0,high_cancel,High Cancellation
19324,94.3,94.75,0.45,94.525,94.67066574038755,114,182,296,4,22,high_cancel,High Cancellation
19325,94.29,94.7,0.41,94.495,94.66298616470223,111,183,294,6,35,high_cancel,High Cancellation
19326,94.28,94.7,0.42,94.49000000000001,94.66325486459326,108,186,294,4,22,high_cancel,High Cancellation
19327,94.51,94.94,0.43,94.725,94.68879926175569,109,180,289,8,45,high_cancel,High Cancellation
19328,94.51,94.89,0.38,94.7,94.72829642144912,109,182,291,0,0,high_cancel,High Cancellation
19329,94.7,94.89,0.19,94.795,94.74592351897932,112,182,294,0,0,high_cancel,High Cancellation
19330,94.7,94.89,0.19,94.795,94.728794755286,112,184,296,0,0,high_cancel,High Cancellation
19331,94.7,94.75,0.05,94.725,94.7219432737714,112,186,298,0,0,high_cancel,High Cancellation
19332,94.26,94.75,0.49,94.505,94.71378259986781,106,187,293,9,41,high_cancel,High Cancellation
19333,94.64,95.03,0.39,94.83500000000001,94.69673150588463,108,182,290,7,27,high_cancel,High Cancellation
19334,94.25,95.03,0.78,94.64,94.67064853573476,105,181,286,7,45,high_cancel,High Cancellation
19335,94.39,94.73,0.34,94.56,94.70181790724932,106,182,288,0,0,high_cancel,High Cancellation
19336,94.39,94.73,0.34,94.56,94.72185702862075,106,184,290,0,0,high_cancel,High Cancellation
19337,94.39,94.73,0.34,94.56,94.70393602835941,107,186,293,0,0,high_cancel,High Cancellation
19338,94.24,94.73,0.49,94.485,94.67721192557403,102,188,290,5,23,high_cancel,High Cancellation
19339,94.24,94.73,0.49,94.485,94.66476062433551,102,189,291,0,0,high_cancel,High Cancellation
19340,94.24,94.73,0.49,94.485,94.66939388104386,102,191,293,0,0,high_cancel,High Cancellation
19341,94.24,94.8,0.56,94.52,94.63960894871457,102,189,291,5,17,high_cancel,High Cancellation
19342,94.47,94.67,0.2,94.57,94.63913456096236,104,190,294,0,0,high_cancel,High Cancellation
19343,94.62,94.67,0.05,94.64500000000001,94.62690814281682,106,191,297,0,0,high_cancel,High Cancellation
19344,94.24,94.67,0.43,94.455,94.59272847304723,100,194,294,7,44,high_cancel,High Cancellation
19345,94.59,94.83,0.24,94.71000000000001,94.59999355495718,102,191,293,4,21,high_cancel,High Cancellation
19346,94.59,95.09,0.5,94.84,94.63675946205413,105,185,290,7,27,high_cancel,High Cancellation
19347,94.59,95.09,0.5,94.84,94.60823615191413,106,186,292,0,0,high_cancel,High Cancellation
19348,94.59,95.09,0.5,94.84,94.6024659583366,108,187,295,0,0,high_cancel,High Cancellation
19349,94.23,94.86,0.63,94.545,94.56822263864072,101,190,291,7,28,high_cancel,High Cancellation
19350,94.43,94.65,0.22,94.54,94.57138649668536,103,191,294,0,0,high_cancel,High Cancellation
19351,94.43,94.65,0.22,94.54,94.56288871751657,105,192,297,0,0,high_cancel,High Cancellation
19352,94.51,94.74,0.23,94.625,94.56864658427597,107,190,297,3,13,high_cancel,High Cancellation
19353,94.51,94.86,0.35,94.685,94.59131744173386,109,189,298,3,15,high_cancel,High Cancellation
19354,94.51,94.86,0.35,94.685,94.58450804350653,112,189,301,0,0,high_cancel,High Cancellation
19355,94.51,94.93,0.42,94.72,94.57830008161558,112,189,301,4,15,high_cancel,High Cancellation
19356,94.23,94.58,0.35,94.405,94.54819286779548,106,190,296,6,21,high_cancel,High Cancellation
19357,94.5,95.14,0.64,94.82,94.5595305696279,109,181,290,9,44,high_cancel,High Cancellation
19358,94.5,95.16,0.66,94.83,94.5650145208388,111,175,286,6,16,high_cancel,High Cancellation
19359,94.5,95.12,0.62,94.81,94.55131990809407,113,176,289,0,0,high_cancel,High Cancellation
19360,94.5,95.18,0.68,94.84,94.58479804859228,115,172,287,4,16,high_cancel,High Cancellation
19361,94.5,94.6,0.1,94.55,94.58724866107873,115,174,289,0,0,high_cancel,High Cancellation
19362,94.5,95.19,0.69,94.845,94.60856262751908,118,167,285,8,46,high_cancel,High Cancellation
19363,94.56,95.19,0.63,94.875,94.62230481350652,121,166,287,0,0,high_cancel,High Cancellation
19364,94.56,95.22,0.66,94.89,94.6419699417978,122,159,281,10,50,high_cancel,High Cancellation
19365,94.56,94.72,0.16,94.64,94.60928122028777,123,161,284,0,0,high_cancel,High Cancellation
19366,94.56,95.25,0.69,94.905,94.65406774943575,124,157,281,6,27,high_cancel,High Cancellation
19367,94.56,95.28,0.72,94.92,94.68889418482335,124,155,279,5,34,high_cancel,High Cancellation
19368,94.56,95.31,0.75,94.935,94.72582115129704,124,152,276,7,45,high_cancel,High Cancellation
19369,94.44,95.03,0.59,94.735,94.70675393920773,120,154,274,6,37,high_cancel,High Cancellation
19370,94.24,94.76,0.52,94.5,94.69247377900876,111,156,267,11,46,high_cancel,High Cancellation
19371,94.22,94.76,0.54,94.49000000000001,94.68701458777831,106,159,265,6,31,high_cancel,High Cancellation
19372,94.65,94.74,0.09,94.695,94.68455831214408,108,160,268,0,0,high_cancel,High Cancellation
19373,94.65,94.86,0.21,94.755,94.71309266950408,108,158,266,5,23,high_cancel,High Cancellation
19374,94.65,94.83,0.18,94.74000000000001,94.71368928038648,109,159,268,0,0,high_cancel,High Cancellation
19375,94.69,95.06,0.37,94.875,94.72929940110207,110,153,263,7,33,high_cancel,High Cancellation
19376,94.22,94.88,0.66,94.55,94.72363196427301,103,155,258,8,31,high_cancel,High Cancellation
19377,94.22,95.06,0.84,94.64,94.72315542272395,103,154,257,4,11,high_cancel,High Cancellation
19378,94.69,95.06,0.37,94.875,94.72579033854437,104,153,257,0,0,high_cancel,High Cancellation
19379,94.69,95.06,0.37,94.875,94.70185198397394,107,153,260,0,0,high_cancel,High Cancellation
19380,94.69,94.99,0.3,94.84,94.70428923976003,109,154,263,0,0,high_cancel,High Cancellation
19381,94.69,94.79,0.1,94.74000000000001,94.70677631446539,111,155,266,0,0,high_cancel,High Cancellation
19382,94.69,95.33,0.64,95.00999999999999,94.72015010419123,112,144,256,12,48,high_cancel,High Cancellation
19383,94.69,95.34,0.65,95.015,94.76432517797609,114,142,256,4,23,high_cancel,High Cancellation
19384,94.64,95.34,0.7,94.99000000000001,94.76720312512248,114,142,256,3,13,high_cancel,High Cancellation
19385,94.64,95.34,0.7,94.99000000000001,94.83197662223141,116,137,253,5,22,high_cancel,High Cancellation
19386,94.75,95.37,0.62,95.06,94.90207839930675,118,130,248,7,29,high_cancel,High Cancellation
19387,94.75,95.41,0.66,95.08,94.88029525825188,120,125,245,5,24,high_cancel,High Cancellation
19388,94.75,94.97,0.22,94.86,94.88146095410875,122,125,247,0,0,high_cancel,High Cancellation
19389,94.85,94.97,0.12,94.91,94.89725889912947,123,126,249,0,0,high_cancel,High Cancellation
19390,94.61,94.97,0.36,94.78999999999999,94.86523274382523,115,127,242,11,46,high_cancel,High Cancellation
19391,94.39,94.88,0.49,94.63499999999999,94.83519346845914,107,129,236,9,39,high_cancel,High Cancellation
19392,94.84,94.88,0.04,94.86,94.87254871814636,109,130,239,0,0,high_cancel,High Cancellation
19393,94.33,94.88,0.55,94.60499999999999,94.88168432298404,104,131,235,8,46,high_cancel,High Cancellation
19394,94.33,94.88,0.55,94.60499999999999,94.88873289231847,105,132,237,0,0,high_cancel,High Cancellation
19395,94.21,94.88,0.67,94.54499999999999,94.87115297098771,100,134,234,6,27,high_cancel,High Cancellation
19396,94.2,94.88,0.68,94.53999999999999,94.84905182820924,94,137,231,7,27,high_cancel,High Cancellation
19397,94.74,94.88,0.14,94.81,94.82229849394625,97,137,234,0,0,high_cancel,High Cancellation
19398,94.74,94.88,0.14,94.81,94.81944348174123,97,139,236,0,0,high_cancel,High Cancellation
19399,94.74,94.82,0.08,94.78,94.80114521221402,98,140,238,2,11,high_cancel,High Cancellation
19400,94.75,94.82,0.07,94.785,94.78341398586882,100,141,241,0,0,high_cancel,High Cancellation
19401,94.76,94.82,0.06,94.78999999999999,94.79881179377529,101,143,244,0,0,high_cancel,High Cancellation
19402,94.66,94.82,0.16,94.74,94.77772391233421,99,142,241,6,25,high_cancel,High Cancellation
19403,94.66,94.82,0.16,94.74,94.77402843040399,102,142,244,0,0,high_cancel,High Cancellation
19404,94.61,94.82,0.21,94.715,94.7516311001463,99,143,242,6,30,high_cancel,High Cancellation
19405,94.42,94.77,0.35,94.595,94.74264190473643,96,145,241,4,16,high_cancel,High Cancellation
