step,best_bid,best_ask,spread,mid_price,ref_price,num_buy_orders,num_sell_orders,total_orders,num_trades,volume_traded,experiment,experiment_label
16691,99.65,99.67,0.02,99.66,99.4429032259925,16994,16143,33137,0,0,balanced,Balanced Market
16692,99.65,99.71,0.06,99.68,99.43370099168662,16992,16139,33131,5,16,balanced,Balanced Market
16693,99.65,99.66,0.01,99.655,99.4384484386999,16988,16138,33126,2,2,balanced,Balanced Market
16694,99.65,99.66,0.01,99.655,99.42023637763276,16977,16135,33112,13,55,balanced,Balanced Market
16695,99.65,99.76,0.11,99.70500000000001,99.46777166472663,16978,16129,33107,5,24,balanced,Balanced Market
16696,99.65,99.7,0.05,99.67500000000001,99.46477629901507,16974,16127,33101,5,12,balanced,Balanced Market
16697,99.65,99.7,0.05,99.67500000000001,99.48430327362854,16974,16126,33100,0,0,balanced,Balanced Market
16698,99.65,99.7,0.05,99.67500000000001,99.51665184549915,16974,16126,33100,0,0,balanced,Balanced Market
16699,99.65,99.97,0.32,99.81,99.54628705153942,16974,16115,33089,11,49,balanced,Balanced Market
16700,99.65,99.97,0.32,99.81,99.54372599863457,16973,16115,33088,0,0,balanced,Balanced Market
16701,99.65,99.69,0.04,99.67,99.55829556801929,16962,16118,33080,7,21,balanced,Balanced Market
16702,99.65,99.66,0.01,99.655,99.51476438399263,16954,16117,33071,8,28,balanced,Balanced Market
16703,99.65,99.66,0.01,99.655,99.52826155327048,16950,16117,33067,2,6,balanced,Balanced Market
16704,99.65,99.66,0.01,99.655,99.54586235566597,16950,16116,33066,1,4,balanced,Balanced Market
16705,99.65,99.66,0.01,99.655,99.55737276807089,16940,16115,33055,10,50,balanced,Balanced Market
16706,99.65,99.66,0.01,99.655,99.56512451041542,16942,16112,33054,2,10,balanced,Balanced Market
16707,99.65,99.66,0.01,99.655,99.57282819882764,16939,16113,33052,0,0,balanced,Balanced Market
16708,99.65,99.66,0.01,99.655,99.60027403767357,16939,16110,33049,1,8,balanced,Balanced Market
16709,99.65,99.66,0.01,99.655,99.60610812370902,16934,16110,33044,6,40,balanced,Balanced Market
16710,99.65,99.66,0.01,99.655,99.59946945072234,16930,16110,33040,4,11,balanced,Balanced Market
16711,99.65,99.66,0.01,99.655,99.58786642216296,16930,16106,33036,1,4,balanced,Balanced Market
16712,99.65,99.66,0.01,99.655,99.56312898448931,16929,16106,33035,0,0,balanced,Balanced Market
16713,99.65,99.66,0.01,99.655,99.55684950396015,16927,16104,33031,4,16,balanced,Balanced Market
16714,99.65,99.66,0.01,99.655,99.53713354575642,16928,16105,33033,0,0,balanced,Balanced Market
16715,99.65,99.66,0.01,99.655,99.5156304192951,16921,16105,33026,6,20,balanced,Balanced Market
16716,99.65,99.85,0.2,99.75,99.53991655369734,16918,16097,33015,9,39,balanced,Balanced Market
16717,99.65,99.85,0.2,99.75,99.51560381593275,16907,16094,33001,11,35,balanced,Balanced Market
16718,99.65,99.66,0.01,99.655,99.52605303330382,16900,16094,32994,8,40,balanced,Balanced Market
16719,99.65,99.99,0.34,99.82,99.51226918021572,16897,16085,32982,11,44,balanced,Balanced Market
16720,99.65,99.74,0.09,99.695,99.50921988995871,16896,16084,32980,0,0,balanced,Balanced Market
16721,99.65,99.74,0.09,99.695,99.49711270988007,16897,16083,32980,0,0,balanced,Balanced Market
16722,99.65,100.02,0.37,99.83500000000001,99.54777328223993,16898,16073,32971,9,45,balanced,Balanced Market
16723,99.65,100.02,0.37,99.83500000000001,99.54394224307774,16899,16072,32971,0,0,balanced,Balanced Market
16724,99.65,99.8,0.15,99.725,99.55367484484344,16900,16071,32971,0,0,balanced,Balanced Market
16725,99.65,99.8,0.15,99.725,99.55033445873964,16902,16068,32970,0,0,balanced,Balanced Market
16726,99.65,99.68,0.03,99.665,99.52067966183107,16900,16067,32967,2,4,balanced,Balanced Market
16727,99.65,99.68,0.03,99.665,99.53771031413598,16893,16066,32959,9,47,balanced,Balanced Market
16728,99.65,99.68,0.03,99.665,99.55561583493792,16890,16064,32954,3,5,balanced,Balanced Market
16729,99.65,99.68,0.03,99.665,99.5692528738299,16885,16066,32951,6,23,balanced,Balanced Market
16730,99.65,100.03,0.38,99.84,99.59283834142363,16881,16061,32942,9,37,balanced,Balanced Market
16731,99.65,99.85,0.2,99.75,99.6022412168336,16875,16063,32938,6,24,balanced,Balanced Market
16732,99.65,99.85,0.2,99.75,99.64096974261348,16877,16060,32937,0,0,balanced,Balanced Market
16733,99.65,100.03,0.38,99.84,99.63464283048944,16879,16055,32934,2,10,balanced,Balanced Market
16734,99.65,100.03,0.38,99.84,99.65285605228726,16872,16051,32923,10,50,balanced,Balanced Market
16735,99.65,99.98,0.33,99.815,99.63845924828686,16868,16050,32918,5,23,balanced,Balanced Market
16736,99.65,99.98,0.33,99.815,99.66762558391044,16867,16049,32916,0,0,balanced,Balanced Market
16737,99.65,99.87,0.22,99.76,99.69069982015155,16864,16050,32914,0,0,balanced,Balanced Market
16738,99.65,99.73,0.08,99.69,99.68892370576648,16858,16051,32909,4,15,balanced,Balanced Market
16739,99.65,99.73,0.08,99.69,99.66169935898803,16857,16051,32908,0,0,balanced,Balanced Market
16740,99.65,99.73,0.08,99.69,99.65455520310947,16858,16048,32906,0,0,balanced,Balanced Market
16741,99.65,99.77,0.12,99.71000000000001,99.66963215176817,16857,16045,32902,3,16,balanced,Balanced Market
16742,99.65,99.77,0.12,99.71000000000001,99.66974381369025,16856,16044,32900,0,0,balanced,Balanced Market
16743,99.65,99.77,0.12,99.71000000000001,99.66290553942221,16856,16043,32899,0,0,balanced,Balanced Market
16744,99.65,99.77,0.12,99.71000000000001,99.64079426763985,16856,16042,32898,0,0,balanced,Balanced Market
16745,99.65,100.03,0.38,99.84,99.68117157504295,16855,16034,32889,8,32,balanced,Balanced Market
16746,99.65,100.03,0.38,99.84,99.69589667542138,16855,16033,32888,0,0,balanced,Balanced Market
16747,99.69,100.05,0.36,99.87,99.71012757866542,16857,16024,32881,6,38,balanced,Balanced Market
16748,99.69,100.07,0.38,99.88,99.73386728521614,16859,16018,32877,5,31,balanced,Balanced Market
16749,99.65,99.82,0.17,99.735,99.72301185171881,16857,16016,32873,4,19,balanced,Balanced Market
16750,99.65,99.82,0.17,99.735,99.68927367479057,16853,16015,32868,5,33,balanced,Balanced Market
16751,99.67,99.79,0.12,99.73,99.71629005132111,16852,16014,32866,0,0,balanced,Balanced Market
16752,99.7,99.79,0.09,99.745,99.73668354911945,16852,16013,32865,0,0,balanced,Balanced Market
16753,99.7,99.77,0.07,99.735,99.73480137783797,16851,16013,32864,0,0,balanced,Balanced Market
16754,99.7,99.77,0.07,99.735,99.74108786305916,16853,16010,32863,0,0,balanced,Balanced Market
16755,99.7,99.74,0.04,99.72,99.73895064001896,16854,16008,32862,0,0,balanced,Balanced Market
16756,99.7,99.74,0.04,99.72,99.74293840650718,16854,16007,32861,0,0,balanced,Balanced Market
16757,99.7,99.74,0.04,99.72,99.7548950921297,16852,16007,32859,0,0,balanced,Balanced Market
16758,99.72,99.74,0.02,99.72999999999999,99.76495814022186,16854,16004,32858,0,0,balanced,Balanced Market
16759,99.65,99.74,0.09,99.695,99.74619015946944,16848,16001,32849,9,48,balanced,Balanced Market
16760,99.68,99.74,0.06,99.71000000000001,99.74429215197549,16849,15998,32847,0,0,balanced,Balanced Market
